Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Penn St.,Big Ten,,1.18,,100.0,,
Wisconsin,Big Ten,,1.11,,114.0,,
Washington,Big Ten,,1.08,,122.0,,
Michigan,Big Ten,,0.98,,143.0,,
Nebraska,Big Ten,,0.8,,192.0,,
Michigan St.,Big Ten,,0.67,,225.0,,
Rutgers,Big Ten,,0.66,,228.0,,
UCLA,Big Ten,,0.64,,231.0,,
Illinois,Big Ten,,0.58,,241.0,,
Ohio St.,Big Ten,,0.53,,255.0,,
Iowa,Big Ten,,0.37,,280.0,,
Maryland,Big Ten,,0.35,,286.0,,
Minnesota,Big Ten,,0.12,,300.0,,
UCLA,Big Ten,Strikeout-to-Walk Ratio (300 ranked),4.35,,3.0,Belmont,4.84
Washington,Big Ten,,3.8,,6.0,,
Oregon,Big Ten,,3.01,,16.0,,
Nebraska,Big Ten,,2.49,,26.0,,
Michigan,Big Ten,,2.11,,45.0,,
Wisconsin,Big Ten,,1.95,,59.0,,
Ohio St.,Big Ten,,1.7,,93.0,,
Iowa,Big Ten,,1.53,,118.0,,
Rutgers,Big Ten,,1.52,,119.0,,
Minnesota,Big Ten,,1.5,,124.0,,
Purdue,Big Ten,,1.45,,139.0,,
Northwestern,Big Ten,,1.43,,141.0,,
Indiana,Big Ten,,1.23,,177.0,,
Illinois,Big Ten,,1.08,,207.0,,
Maryland,Big Ten,,1.08,,209.0,,
Michigan St.,Big Ten,,1.06,,216.0,,
Penn St.,Big Ten,,0.88,,256.0,,
UCLA,Big Ten,Team Strikeouts Per Seven Innings (300 ranked),8.15,,4.0,St. John's (NY),9.38
Oregon,Big Ten,,7.98,,5.0,,
Washington,Big Ten,,7.72,,7.0,,
Nebraska,Big Ten,,7.72,,8.0,,
Michigan,Big Ten,,5.89,,46.0,,
Rutgers,Big Ten,,5.71,,53.0,,
Indiana,Big Ten,,5.24,,81.0,,
Northwestern,Big Ten,,5.18,,85.0,,
Ohio St.,Big Ten,,4.98,,99.0,,
Iowa,Big Ten,,4.94,,104.0,,
Purdue,Big Ten,,4.68,,128.0,,
Maryland,Big Ten,,4.64,,130.0,,
Minnesota,Big Ten,,4.61,,134.0,,
Michigan St.,Big Ten,,4.51,,147.0,,
Penn St.,Big Ten,,4.51,,148.0,,
Wisconsin,Big Ten,,4.39,,156.0,,
Illinois,Big Ten,,3.54,,230.0,,
Ohio St.,Big Ten,Total Runs (300 ranked),467.0,,1.0,Ohio St.,467.0
UCLA,Big Ten,,424.0,,3.0,,
Oregon,Big Ten,,423.0,,4.0,,
Nebraska,Big Ten,,409.0,,7.0,,
Indiana,Big Ten,,379.0,,14.0,,
Penn St.,Big Ten,,334.0,,32.0,,
Michigan,Big Ten,,300.0,,61.0,,
Washington,Big Ten,,296.0,,64.0,,
Wisconsin,Big Ten,,279.0,,74.0,,
Northwestern,Big Ten,,255.0,,109.0,,
Purdue,Big Ten,,242.0,,128.0,,
Iowa,Big Ten,,232.0,,141.0,,
Illinois,Big Ten,,224.0,,159.0,,
Maryland,Big Ten,,209.0,,187.0,,
Michigan St.,Big Ten,,206.0,,193.0,,
Minnesota,Big Ten,,202.0,,199.0,,
Rutgers,Big Ten,,176.0,,245.0,,
Wisconsin,Big Ten,Total Sacrifice Bunts (300 ranked),40.0,,33.0,Louisiana,77.0
Iowa,Big Ten,,38.0,,39.0,,
Purdue,Big Ten,,29.0,,98.0,,
Illinois,Big Ten,,28.0,,108.0,,
Michigan St.,Big Ten,,28.0,,108.0,,
Rutgers,Big Ten,,26.0,,126.0,,
Penn St.,Big Ten,,25.0,,129.0,,
Maryland,Big Ten,,21.0,,167.0,,
Washington,Big Ten,,20.0,,176.0,,
Indiana,Big Ten,,19.0,,187.0,,
Oregon,Big Ten,,19.0,,187.0,,
Michigan,Big Ten,,17.0,,206.0,,
Nebraska,Big Ten,,16.0,,221.0,,
UCLA,Big Ten,,14.0,,237.0,,
Minnesota,Big Ten,,13.0,,245.0,,
Northwestern,Big Ten,,8.0,,284.0,,
Ohio St.,Big Ten,,3.0,,299.0,,
Oregon,Big Ten,Total Sacrifice Flies (300 ranked),23.0,,16.0,Prairie View,37.0
Purdue,Big Ten,,23.0,,16.0,,
UCLA,Big Ten,,23.0,,16.0,,
Nebraska,Big Ten,,16.0,,73.0,,
Ohio St.,Big Ten,,16.0,,73.0,,
Indiana,Big Ten,,15.0,,93.0,,
Iowa,Big Ten,,15.0,,93.0,,
Washington,Big Ten,,14.0,,111.0,,
Northwestern,Big Ten,,13.0,,131.0,,
Rutgers,Big Ten,,13.0,,131.0,,
Maryland,Big Ten,,12.0,,150.0,,
Penn St.,Big Ten,,12.0,,150.0,,
Illinois,Big Ten,,11.0,,172.0,,
Wisconsin,Big Ten,,10.0,,195.0,,
Michigan,Big Ten,,9.0,,220.0,,
Michigan St.,Big Ten,,9.0,,220.0,,
Minnesota,Big Ten,,9.0,,220.0,,
Oregon,Big Ten,Total Stolen Bases (300 ranked),156.0,,3.0,Southeastern La.,193.0
Purdue,Big Ten,,85.0,,27.0,,
